Date,Open,High,Low,Close,Volume,Market Cap
2015-08-07,2.83161997795105,3.5366098880767822,2.521120071411133,2.7721199989318848,164329.0,166610555.018
2015-08-08,2.793760061264038,2.7988100051879883,0.7147250175476074,0.7533249855041504,674188.0,45486894.2408
2015-08-09,0.7061359882354736,0.8798099756240845,0.629190981388092,0.7018970251083374,532170.0,42399573.4991
2015-08-10,0.7139890193939209,0.7298539876937866,0.6365460157394409,0.7084479928016663,405283.0,42818364.3945
2015-08-11,0.7080870270729065,1.131410002708435,0.6632350087165833,1.0678600072860718,1463100.0,64569288.4328
2015-08-12,1.058750033378601,1.2899399995803833,0.8836079835891724,1.2174400091171265,2150620.0,73645010.9863
2015-08-13,1.2222399711608887,1.9650700092315674,1.1719900369644165,1.8276699781417847,4068680.0,110607191.674
2015-08-14,1.810920000076294,2.2618799209594727,1.7547500133514404,1.8278700113296509,4637030.0,110672321.811
2015-08-15,1.8028899431228638,1.8772399425506592,1.5709799528121948,1.6888999938964844,2554360.0,102303608.467
2015-08-16,1.6843500137329102,1.6952400207519531,1.0898100137710571,1.5660300254821777,3550790.0,94901005.3503
2015-08-17,1.5811899900436401,1.5811899900436401,1.1853400468826294,1.2036099433898926,1942830.0,87295366.5007
2015-08-18,1.2152999639511108,1.3311599493026733,1.087049961090088,1.087049961090088,1485680.0,78868413.078
2015-08-19,1.1669299602508545,1.3179899454116821,1.1669299602508545,1.2588599920272827,1486240.0,91366391.4393
2015-08-20,1.2511800527572632,1.5333000421524048,1.248329997062683,1.4649200439453125,2843760.0,106351420.178
2015-08-21,1.4775199890136719,1.5564199686050415,1.3528000116348267,1.3952900171279907,2020970.0,101331855.597
2015-08-22,1.3962899446487427,1.4764100313186646,1.352679967880249,1.37923002243042,948310.0,100201825.662
2015-08-23,1.375,1.4097000360488892,1.2977700233459473,1.3525899648666382,1589300.0,98300351.3461
2015-08-24,1.3455899953842163,1.362779974937439,1.2312699556350708,1.2312699556350708,924920.0,89515256.5525
2015-08-25,1.2286100387573242,1.241819977760315,1.1286499500274658,1.1401900053024292,1307180.0,82922632.9052
2015-08-26,1.132789969444275,1.2024799585342407,1.0618300437927246,1.159980058670044,1056750.0,84390923.5384
2015-08-27,1.1698100566864014,1.188830018043518,1.1372900009155273,1.1476999521255493,686662.0,83524585.3858
2015-08-28,1.1476600170135498,1.2077900171279907,1.1204999685287476,1.1913800239562988,721872.0,86731076.6374
2015-08-29,1.1935299634933472,1.2072099447250366,1.1494899988174438,1.1825499534606934,375377.0,86113894.6912
2015-08-30,1.1829899549484253,1.3679900169372559,1.170609951019287,1.3192700147628784,1337650.0,96097349.1063
2015-08-31,1.3213800191879272,1.39614999294281,1.20100998878479,1.358240008354187,1447180.0,98963974.8992
2015-09-01,1.3534799814224243,1.39274001121521,1.3366299867630005,1.3516099452972412,778862.0,98507500.0511
2015-09-02,1.3515700101852417,1.3549100160598755,1.2646199464797974,1.2947900295257568,883769.0,94389544.2517
2015-09-03,1.2951899766921997,1.3099900484085083,1.2110300064086914,1.264930009841919,702991.0,92234142.4838
2015-09-04,1.264930009841919,1.3025200366973877,1.2368099689483643,1.2744100093841553,474391.0,92953700.9787
2015-09-05,1.28056001663208,1.3423000574111938,1.2711900472640991,1.3388099670410156,448453.0,97683882.5429
2015-09-06,1.3380099534988403,1.3736399412155151,1.2942500114440918,1.2958300113677979,491968.0,94580163.7911
2015-09-07,1.2958999872207642,1.3054800033569336,1.2378499507904053,1.246649980545044,489014.0,91020734.5517
2015-09-08,1.246649980545044,1.2823799848556519,1.2306100130081177,1.2424299716949463,427892.0,90743242.4997
2015-09-09,1.2393499612808228,1.2604800462722778,1.2018400430679321,1.2065099477767944,366748.0,88150124.7109
2015-09-10,1.207610011100769,1.2215700149536133,1.1361500024795532,1.1657700538635254,662782.0,85202731.6627
2015-09-11,1.16497004032135,1.1690700054168701,0.9406750202178955,0.9829779863357544,1942600.0,71868264.5796
2015-09-12,0.9872279763221741,1.1148899793624878,0.9697800278663635,1.0387400388717651,772430.0,75971273.1522
2015-09-13,1.0417799949645996,1.0427000522613525,0.9028319716453552,0.9360030293464661,644138.0,68480586.7159
2015-09-14,0.9405660033226013,0.9493870139122009,0.8717600107192993,0.8756219744682312,741085.0,64084134.617
2015-09-15,0.8751890063285828,1.0455399751663208,0.8751890063285828,0.9444100260734558,703390.0,69141408.7519
2015-09-16,0.9419770240783691,0.9526979923248291,0.9016389846801758,0.9071750044822693,615593.0,66437873.289
2015-09-17,0.9068650007247925,0.9092040061950684,0.8311319947242737,0.8742309808731079,897940.0,64046215.9505
2015-09-18,0.8745740056037903,0.8881019949913025,0.8339080214500427,0.8536850214004517,484622.0,62561883.0773
2015-09-19,0.849602997303009,0.9118829965591431,0.8337839841842651,0.8823909759521484,386988.0,64687991.9997
2015-09-20,0.8811910152435303,0.9477409720420837,0.8732050061225891,0.938444972038269,508314.0,68822183.059
2015-09-21,0.9414960145950317,0.9573259949684143,0.8783010244369507,0.9190469980239868,424039.0,67422915.0922
2015-09-22,0.9193369746208191,0.9193369746208191,0.8652250170707703,0.9017959833145142,487914.0,66180153.1012
2015-09-23,0.9035599827766418,0.9089099764823914,0.8851360082626343,0.8934059739112854,200541.0,65587498.9815
2015-09-24,0.8967959880828857,0.9085710048675537,0.7934600114822388,0.8136100172996521,842505.0,59749887.5183
2015-09-25,0.8200309872627258,0.8256649971008301,0.7127450108528137,0.7362229824066162,903457.0,54085581.3072
2015-09-26,0.7376300096511841,0.7875440120697021,0.7093279957771301,0.7859640121459961,369620.0,57759115.3858
2015-09-27,0.7912769913673401,0.7912769913673401,0.719169020652771,0.7208390235900879,413801.0,52990396.2203
2015-09-28,0.7237150073051453,0.7256770133972168,0.5570619702339172,0.5828859806060791,1320890.0,42863006.0965
2015-09-29,0.5794140100479126,0.6758300065994263,0.5583459734916687,0.6611459851264954,913992.0,48633258.7786
2015-09-30,0.661191999912262,0.7467219829559326,0.6358609795570374,0.738644003868103,619926.0,54351468.2396
2015-10-01,0.7343069911003113,0.7343069911003113,0.6559060215950012,0.690214991569519,596084.0,50805918.9432
2015-10-02,0.6837319731712341,0.6911200284957886,0.654604971408844,0.6785740256309509,219318.0,49966501.6492
2015-10-03,0.6787829995155334,0.7092040181159973,0.6754819750785828,0.6871709823608398,163326.0,50616971.5371
